상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
비스트로큐슈,음식,일식,일식 회/초밥,서울특별시,마포구,서강동,창전동,서울특별시 마포구 와우산로30길 13,126.929935960506,37.5541507499042
희망분식,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,염리동,염리동,서울특별시 마포구 백범로17길 4-4,126.943952943076,37.5473299276704
소잉카페;이어지다,음식,비알코올 ,카페,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 신촌로 142,126.94128200309,37.5561452203473
미스터·유,음식,주점,생맥주 전문,서울특별시,마포구,서교동,노고산동,서울특별시 마포구 신촌로16길 30,126.934244357309,37.554405968518
정각,음식,서양식,경양식,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로20길 28,126.943939842413,37.5458521018235
에너지,음식,주점,요리 주점,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로 109,126.943477449574,37.5473436948097
스매쉬보이,음식,서양식,경양식,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로15길 37,126.921465602869,37.5489828051328
더수피,음식,서양식,경양식,서울특별시,용산구,한강로동,한강로1가,서울특별시 용산구 백범로99가길 3-1,126.971958599838,37.5360166809286
백일몽,음식,기타 간이,치킨,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로 139,126.928739023027,37.5539596878926
만인의형제떡볶이,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 신촌로20길 24,126.93833259618,37.5542265512338
798화로,음식,한식,돼지고기 구이/찜,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29마길 6,126.92670879859,37.5558424426542
삼월황,음식,서양식,경양식,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로13길 49-15,126.921501604325,37.5480550629041
청년다방,음식,기타 간이,김밥/만두/분식,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 신촌로 139,126.941319494054,37.5566951910628
맘이네식당,음식,기타 간이,김밥/만두/분식,서울특별시,서대문구,북아현동,북아현동,서울특별시 서대문구 신촌로31길 22,126.953936037249,37.5577267102387
락희앤컴퍼니락희옥마포,음식,한식,횟집,서울특별시,마포구,아현동,공덕동,서울특별시 마포구 백범로 170,126.949246587895,37.5442865791136
하이카오산,음식,동남아시아,베트남식 전문,서울특별시,마포구,공덕동,신공덕동,서울특별시 마포구 백범로 205,126.954115220636,37.5440955322874
수저가,음식,한식,국수/칼국수,서울특별시,마포구,신수동,신수동,서울특별시 마포구 광성로4길 10,126.937281499605,37.5493424654175
니가사라,음식,주점,요리 주점,서울특별시,마포구,염리동,염리동,서울특별시 마포구 백범로 127,126.94543521842,37.5465412482757
디어모먼트,음식,비알코올 ,카페,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로 80-34,126.942002287168,37.5468259027054
와인몰트룸봉기,음식,주점,요리 주점,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로11길 9-3,126.922465377737,37.5487126109447
기찻길,음식,주점,요리 주점,서울특별시,마포구,신수동,신수동,서울특별시 마포구 광성로6길 26,126.938693819658,37.5487064189816
히노키공방,음식,일식,일식 회/초밥,서울특별시,마포구,서교동,노고산동,서울특별시 마포구 신촌로14안길 3,126.93330382425,37.5544875788812
쉐어드닷크리에이티브,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29바길 11-4,126.926145950092,37.5556300856577
서울진,음식,한식,백반/한정식,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 29,126.922782266664,37.5471386823237
열정갈비,음식,한식,돼지고기 구이/찜,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로90라길 31,126.969024733074,37.5387212698248
좀비피자,음식,기타 간이,피자,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 신촌로 128,126.939952266975,37.5557368311778
수수원,음식,비알코올 ,카페,서울특별시,마포구,신수동,신수동,서울특별시 마포구 광성로6길 54,126.939658735901,37.547696911509
문배동면사무소,음식,한식,국수/칼국수,서울특별시,용산구,원효로1동,문배동,서울특별시 용산구 백범로90라길 28,126.969131272493,37.5383798028674
서울펍,음식,주점,생맥주 전문,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로 73,126.922998217783,37.5510061135143
연희김밥,음식,기타 간이,김밥/만두/분식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 61-1,126.933295249956,37.5566770279704
지피피엘,음식,비알코올 ,카페,서울특별시,마포구,서교동,노고산동,서울특별시 마포구 신촌로14길 11,126.933811151397,37.5554202323739
장독대집밥,음식,한식,백반/한정식,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 백범로1길 78,126.940936290584,37.5557817036681
요수정,음식,한식,백반/한정식,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로 80-2,126.941567980788,37.5471283645387
무국식탁편백집,음식,한식,백반/한정식,서울특별시,마포구,아현동,아현동,서울특별시 마포구 신촌로 264,126.954986370703,37.5570782516445
틈새라면홍대놀이터점,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로21길 21,126.922674667886,37.5522556066778
뉴플로우,음식,주점,요리 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로21길 19-12,126.922622757431,37.5519307588119
공중캠프,음식,주점,요리 주점,서울특별시,마포구,서강동,창전동,서울특별시 마포구 와우산로 150,126.929843369568,37.5542940770504
큰맘순대국,음식,한식,국/탕/찌개류,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 백범로2길 8,126.936475709011,37.5542819226776
아우라원,음식,주점,무도 유흥 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로21길 37,126.921712428384,37.5522738539781
명랑핫도그대흥역점,음식,기타 간이,빵/도넛,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로 101-1,126.94281645897,37.5476711639143
세이버리앤코,음식,서양식,경양식,서울특별시,용산구,청파동,청파동3가,서울특별시 용산구 백범로79길 110,126.964999699246,37.5433985211331
파크사이드,음식,비알코올 ,카페,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로16안길 31,126.943797452387,37.5463193700343
배터리88,음식,주점,요리 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로19길 6,126.922755530892,37.5513553049951
유포테이블,음식,일식,일식 회/초밥,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로23길 9,126.924366793098,37.5534243648617
열정도감자집,음식,주점,요리 주점,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로87길 53,126.969351752344,37.5396251693712
은희네,음식,기타 간이,김밥/만두/분식,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 신촌역로 22-5,126.943020013663,37.5588999547767
멜로디케이크,음식,기타 간이,빵/도넛,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 백범로 13,126.937483690434,37.5534350097319
러브이즈아트아틀리에,음식,비알코올 ,카페,서울특별시,마포구,서교동,동교동,서울특별시 마포구 신촌로2안길 48,126.929437068179,37.5565880442867
상수동카스티야,음식,기타 간이,빵/도넛,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 39-21,126.922145276149,37.5481510445048
클로버,음식,비알코올 ,카페,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 신촌역로 22-5,126.943020013663,37.5588999547767
지풍승,음식,비알코올 ,카페,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 1,126.927378471742,37.5588670092217
스탠스커피,음식,비알코올 ,카페,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로11길 9,126.922429875277,37.5488204117345
소림마라,음식,중식,마라탕/훠궈,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29길 4-26,126.929583974512,37.5550215676908
정밥,음식,한식,백반/한정식,서울특별시,마포구,신수동,신수동,서울특별시 마포구 광성로6안길 8,126.938249835028,37.5488916460238
타쿠미야글로벌타쿠미야,음식,기타 간이,빵/도넛,서울특별시,마포구,염리동,공덕동,서울특별시 마포구 백범로 152,126.948244432259,37.544737188609
푸른굴뚝,음식,주점,요리 주점,서울특별시,마포구,서교동,노고산동,서울특별시 마포구 신촌로14길 12,126.93362764961,37.5555897726891
동교김밥,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,서교동,동교동,서울특별시 마포구 신촌로 24,126.928832227811,37.5577268780358
소풍가는날,음식,한식,백반/한정식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 1,126.927378471742,37.5588670092217
러비니돌,음식,비알코올 ,카페,서울특별시,마포구,서교동,동교동,서울특별시 마포구 신촌로2안길 20,126.928114925948,37.5572338068318
잇마이케이크,음식,기타 간이,빵/도넛,서울특별시,서대문구,북아현동,북아현동,서울특별시 서대문구 신촌로29길 16,126.952329931259,37.5576493961646
정정,음식,한식,백반/한정식,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로24길 27,126.944183562467,37.5462237085727
더리터,음식,비알코올 ,카페,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 57,126.922870951148,37.5496263617916
도원떡방,음식,기타 간이,떡/한과,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로18길 32,126.942330044257,37.5468558703112
도우스,음식,기타 간이,피자,서울특별시,마포구,염리동,공덕동,서울특별시 마포구 백범로 152,126.948244432259,37.544737188609
상수포차,음식,주점,일반 유흥 주점,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 30,126.923155535812,37.5471510975314
장가네,음식,한식,백반/한정식,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로21길 31,126.922120708566,37.5522145091988
자유인들,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로22길 34,126.924175050707,37.5510168423168
옥상달빛,음식,주점,요리 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로13길 2,126.922820632506,37.5499773082619
마실,음식,주점,무도 유흥 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로17길 14,126.922147566496,37.5503496025789
마포닭사리,음식,한식,돼지고기 구이/찜,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로11길 57,126.934178914171,37.5590006799068
싸다김밥,음식,기타 간이,김밥/만두/분식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 127,126.939976134226,37.556448867196
홍대오십그램,음식,한식,백반/한정식,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로21길 28-8,126.922420010767,37.5526497401053
이요이요파크자이,음식,일식,일식 회/초밥,서울특별시,마포구,염리동,공덕동,서울특별시 마포구 백범로 152,126.948244432259,37.544737188609
이이알티,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29길 4-20,126.929697910945,37.5549685382336
마포우삼겹우된장,음식,한식,소고기 구이/찜,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로 178,126.946097732386,37.5549448695138
소울버튼,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로15길 23,126.922048034612,37.5494026022213
일공오삼겹살,음식,한식,돼지고기 구이/찜,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로87길 50-1,126.96946774579,37.5394189414026
조이버거,음식,기타 간이,버거,서울특별시,마포구,서교동,동교동,서울특별시 마포구 신촌로12길 32,126.932493815371,37.5549397882604
드링스온,음식,주점,요리 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로17길 19-8,126.921531439982,37.5499114774398
그집파스타,음식,서양식,파스타/스테이크,서울특별시,마포구,공덕동,신공덕동,서울특별시 마포구 백범로 205,126.954115220636,37.5440955322874
정오아카데미서강대점,음식,구내식당·뷔페,구내식당,서울특별시,마포구,대흥동,신수동,서울특별시 마포구 백범로 35,126.943045399174,37.5514936288891
디저트머라이언,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로27길 75,126.924619400628,37.5555350977256
알레스카페,음식,비알코올 ,카페,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 백범로1길 16,126.93795519663,37.5545024795298
신촌수제비,음식,한식,국수/칼국수,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 87-8,126.936294743012,37.5558661229081
정원식당,음식,한식,백반/한정식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로3길 9,126.928911025981,37.5585475384387
그린데이즈,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,염리동,공덕동,서울특별시 마포구 백범로 152,126.948244432259,37.544737188609
해들녘신촌,음식,한식,백반/한정식,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 신촌역로 7,126.942487383421,37.5573453962082
케이디케밥하우스,음식,서양식,기타 서양식 음식점,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 백범로 19,126.937478897766,37.5529754359953
상수방,음식,비알코올 ,카페,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로3길 17,126.921973260396,37.5459509361787
소돌초밥,음식,일식,일식 회/초밥,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로20길 10,126.943873225897,37.5465633291207
계백집,음식,기타 간이,그 외 기타 간이 음식점,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
주무대,음식,한식,돼지고기 구이/찜,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로3길 32,126.921203975108,37.5459348997585
연,음식,주점,요리 주점,서울특별시,마포구,서교동,노고산동,서울특별시 마포구 신촌로12다길 25,126.933979334991,37.5547369607284
파파존스피자이대,음식,기타 간이,버거,서울특별시,서대문구,북아현동,북아현동,서울특별시 서대문구 신촌로 207,126.949133096426,37.5572065063644
베니케이크,음식,기타 간이,빵/도넛,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29다길 11,126.927796253301,37.5549873255254
황남국밥,음식,한식,국/탕/찌개류,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29길 4-26,126.929583974512,37.5550215676908
신촌떡볶킹,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 백범로2길 35-9,126.935348277324,37.5531815030641
아델라이,음식,비알코올 ,카페,서울특별시,마포구,공덕동,신공덕동,서울특별시 마포구 백범로37길 26,126.954905493719,37.5442286755077
아셈에프앤비오로라,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로 139,126.928739023027,37.5539596878926
영미김밥,음식,기타 간이,김밥/만두/분식,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 신촌역로 21,126.942468920475,37.5586517389342
비니네샐러드,음식,한식,백반/한정식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 109,126.937777969987,37.5558254142018
강선생마포숯불갈비,음식,한식,돼지고기 구이/찜,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로 92,126.942257045843,37.5480175600956
모두다토끼,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로15길 40,126.921159827741,37.548998032438
반미362공덕,음식,동남아시아,베트남식 전문,서울특별시,마포구,염리동,공덕동,서울특별시 마포구 백범로 152,126.948244432259,37.544737188609
위베이크러브,음식,기타 간이,빵/도넛,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로77길 24,126.964929170542,37.5394963814973
피슈마라홍탕,음식,중식,마라탕/훠궈,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 73,126.934500325448,37.5563004624862
파운더리,음식,기타 간이,빵/도넛,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로21길 6,126.945506833059,37.5535069385266
파리바게트이대자이,음식,기타 간이,빵/도넛,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로 175,126.943506660828,37.5556966072799
노이즈베이스먼트,음식,주점,요리 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로 72,126.923385025098,37.5508654748582
울할매빵집,음식,기타 간이,빵/도넛,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 신촌역로 22-5,126.943020013663,37.5588999547767
경이로운커피,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29길 14-21,126.928878364591,37.5552944906133
몬스터치즈떡볶이,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29길 59,126.926786592385,37.5559422641342
만랩커피용산문배케이씨씨점,음식,비알코올 ,카페,서울특별시,용산구,원효로1동,문배동,서울특별시 용산구 백범로90길 90,126.968790589812,37.5376469818202
하나복지회하나라이스&베이커리,음식,기타 간이,빵/도넛,서울특별시,마포구,아현동,아현동,서울특별시 마포구 신촌로 270,126.956012548466,37.5573486320029
카페어싸이드,음식,비알코올 ,카페,서울특별시,마포구,서교동,동교동,서울특별시 마포구 신촌로2안길 35,126.929034541242,37.5570349132707
야채를담다야담,음식,한식,백반/한정식,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 신촌역로 22-5,126.943020013663,37.5588999547767
소울트리,음식,서양식,경양식,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로21길 19-16,126.922522601064,37.5518127097208
스튜디오업,음식,서양식,경양식,서울특별시,용산구,청파동,청파동3가,서울특별시 용산구 백범로79길 110,126.964999699246,37.5433985211331
위드브레드,음식,기타 간이,빵/도넛,서울특별시,마포구,아현동,아현동,서울특별시 마포구 신촌로34길 33,126.954936589064,37.5557803116271
이디야,음식,비알코올 ,카페,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 41-1,126.92281170992,37.5482382198638
주막보리밥,음식,한식,백반/한정식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 17,126.928995273287,37.5581968975094
온다옴,음식,한식,백반/한정식,서울특별시,마포구,염리동,공덕동,서울특별시 마포구 백범로 152,126.948244432259,37.544737188609
쿠시무라,음식,일식,일식 회/초밥,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로3길 13,126.922255355417,37.546007573765
명품임실치즈피자,음식,기타 간이,피자,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 신촌로 160,126.943271807078,37.5562982025894
퍼넬스페셜티커피하우스,음식,비알코올 ,카페,서울특별시,마포구,염리동,염리동,서울특별시 마포구 백범로25길 63,126.94676530267,37.5493283290705
우월한프렌즈,음식,한식,백반/한정식,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29가길 84,126.924870321348,37.5538254083926
스테프핫도그익스프레스,음식,기타 간이,빵/도넛,서울특별시,마포구,아현동,아현동,서울특별시 마포구 신촌로 238,126.95213619574,37.5569358545402
더푸드랩마포,음식,기타 간이,그 외 기타 간이 음식점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29마길 10-3,126.926394781848,37.5556413590065
김덕후의곱창조,음식,한식,곱창 전골/구이,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 51-9,126.922458244338,37.5492081177843
만추현대백화점,음식,중식,중국집,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
젬블리스,음식,비알코올 ,카페,서울특별시,마포구,신수동,신수동,서울특별시 마포구 광성로 17,126.935503212947,37.5502455080963
카페해피베어데이,음식,비알코올 ,카페,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로13길 49-9,126.921214698004,37.5483317642987
그라찌에서강대점,음식,비알코올 ,카페,서울특별시,마포구,대흥동,신수동,서울특별시 마포구 백범로 35,126.943045399174,37.5514936288891
이스탄불그릴,음식,동남아시아,베트남식 전문,서울특별시,마포구,염리동,공덕동,서울특별시 마포구 백범로 152,126.948244432259,37.544737188609
서울호떡,음식,기타 간이,그 외 기타 간이 음식점,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 신촌로 122,126.93926374994,37.5556045017484
쿠바킹,음식,기타 간이,치킨,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29바길 5-3,126.926469085325,37.5559844295331
